Kabupaten/Kota,group,unit,type,2015,2016,2017,2018,2019,2020
Lubuk_Linggau,Buah-Buahan,Kuintal,Pisang,677.0,2578.0,934.0,1092.0,692.0,130.0
Ogan_Komering_Ulu,Buah-Buahan,Kuintal,Pepaya,3263.0,3170.0,3342.0,3588.0,1615.0,897.0
Ogan_Komering_Ilir,Buah-Buahan,Kuintal,Pepaya,1869.0,1252.0,8080.0,4736.0,1276.0,1579.0
Muara_Enim,Buah-Buahan,Kuintal,Pepaya,164808.0,162793.0,156843.0,114739.0,204707.0,208213.0
Lahat,Buah-Buahan,Kuintal,Pepaya,367.0,105.0,104.0,130.0,45.0,82.0
Musi_Rawas,Buah-Buahan,Kuintal,Pepaya,11209.0,26715.0,28703.0,27345.0,24388.0,12085.0
Musi_Banyuasin,Buah-Buahan,Kuintal,Pepaya,652.0,696.0,540.0,1184.0,1111.0,1299.0
Banyuasin,Buah-Buahan,Kuintal,Pepaya,5396.0,16216.0,13851.0,6060.0,5260.0,11449.0
Ogan_Komering_Ulu_Selatan,Buah-Buahan,Kuintal,Pepaya,10.0,0.0,0.0,,,
Ogan_Komering_Ulu_Timur,Buah-Buahan,Kuintal,Pepaya,329.0,221.0,178.0,192.0,123.0,153.0
Ogan_Ilir,Buah-Buahan,Kuintal,Pepaya,320379.0,299374.0,816106.0,1038493.0,1475723.0,817820.0
Empat_Lawang,Buah-Buahan,Kuintal,Pepaya,26.0,29.0,27.0,29.0,21.0,11.0
Pali,Buah-Buahan,Kuintal,Pepaya,440.0,350.0,3540.0,14008.0,12431.0,28470.0
Musi_Rawas_Utara,Buah-Buahan,Kuintal,Pepaya,258.0,87.0,134.0,172.0,186.0,243.0
Palembang,Buah-Buahan,Kuintal,Pepaya,99.0,49.0,32.0,11.0,32.0,71.0
Prabumulih,Buah-Buahan,Kuintal,Pepaya,65846.0,61509.0,59229.0,138138.0,71407.0,95522.0
Pagar_Alam,Buah-Buahan,Kuintal,Pepaya,0.0,0.0,0.0,,,
Lubuk_Linggau,Buah-Buahan,Kuintal,Pepaya,260.0,348.0,3.0,117.0,128.0,15.0
Ogan_Komering_Ulu,Buah-Buahan,Kuintal,Nanas,,,,794.0,738.0,347.0
Ogan_Komering_Ilir,Buah-Buahan,Kuintal,Nanas,,,,126.0,76.0,7.0
Muara_Enim,Buah-Buahan,Kuintal,Nanas,,,,2.0,5.0,11.0
Lahat,Buah-Buahan,Kuintal,Nanas,,,,3181.0,2251.0,3335.0
Musi_Rawas,Buah-Buahan,Kuintal,Nanas,,,,1330.0,2174.0,1603.0
Musi_Banyuasin,Buah-Buahan,Kuintal,Nanas,,,,3084.0,2122.0,2574.0
Banyuasin,Buah-Buahan,Kuintal,Nanas,,,,238.0,174.0,31.0
Ogan_Komering_Ulu_Selatan,Buah-Buahan,Kuintal,Nanas,,,,,,
Ogan_Komering_Ulu_Timur,Buah-Buahan,Kuintal,Nanas,,,,2794.0,3289.0,6585.0
Ogan_Ilir,Buah-Buahan,Kuintal,Nanas,,,,,1.0,
Empat_Lawang,Buah-Buahan,Kuintal,Nanas,,,,109.0,193.0,160.0
Pali,Buah-Buahan,Kuintal,Nanas,,,,14.0,8.0,30.0
Musi_Rawas_Utara,Buah-Buahan,Kuintal,Nanas,,,,43.0,38.0,35.0
Palembang,Buah-Buahan,Kuintal,Nanas,,,,,,
Prabumulih,Buah-Buahan,Kuintal,Nanas,,,,16.0,24.0,941.0
Pagar_Alam,Buah-Buahan,Kuintal,Nanas,,,,14425.0,2300.0,1873.0
Lubuk_Linggau,Buah-Buahan,Kuintal,Nanas,,,,12.0,16.0,896.0
